PLAYER_SK,Player_Id,Player_Name,DOB,Batting_hand,Bowling_skill,Country_Name
358,359,IC Pandey,15/08/1989,Right-hand bat,Right-arm medium,India
359,360,CM Gautam,08/03/1986,Right-hand bat,N/A,India
360,361,X Thalaivan Sargunam,15/05/1985,Right-hand bat,Right-arm offbreak,India
361,362,DJG Sammy,20/12/1983,Right-hand bat,Right-arm medium-fast,West Indies
362,363,KW Richardson,12/02/1991,Right-hand bat,Right-arm fast-medium,Australia
363,364,MM Sharma,18/09/1988,Right-hand bat,Right-arm medium,India
364,365,UA Birla,17/11/1989,Right-hand bat,Right-arm medium,India
365,366,Parvez Rasool,13/02/1989,Right-hand bat,Right-arm offbreak,India
366,367,Sandeep Sharma,18/05/1993,Right-hand bat,Right-arm medium,India
367,368,S Kaul,19/05/1990,Right-hand bat,Right-arm medium,India
368,369,Sachin Baby,18/12/1988,Left-hand bat,Right-arm offbreak,India
369,370,PV Tambe,08/10/1971,Right-hand bat,Legbreak,India
370,371,NM Coulter-Nile,11/10/1987,Right-hand bat,Right-arm fast,Australia
371,372,CJ Anderson,13/12/1990,Left-hand bat,Left-arm medium-fast,New Zealand
372,373,NJ Maddinson,21/12/1991,Left-hand bat,Slow left-arm orthodox,Australia
373,374,AR Patel,20/01/1994,Left-hand bat,Slow left-arm orthodox,India
374,375,JJ Bumrah,06/12/1993,Right-hand bat,Right-arm medium,India
375,376,JDS Neesham,17/09/1990,Left-hand bat,Right-arm medium,New Zealand
376,377,TG Southee,11/12/1988,Right-hand bat,Right-arm medium-fast,New Zealand
377,378,MA Starc,30/01/1990,Left-hand bat,Left-arm fast,Australia
378,379,BR Dunk,11/03/1987,Left-hand bat,N/A,Australia
379,380,RR Rossouw,09/10/1989,Left-hand bat,Right-arm offbreak,South Africa
380,381,Shivam Sharma,09/09/1993,Right-hand bat,Right-arm offbreak,India
381,382,YS Chahal,23/07/1990,Right-hand bat,Legbreak googly,India
382,383,LMP Simmons,25/01/1985,Right-hand bat,Right-arm medium-fast,West Indies
383,384,VH Zol,23/11/1994,Left-hand bat,Right-arm offbreak,India
384,385,BCJ Cutting,30/01/1987,Right-hand bat,Right-arm fast-medium,Australia
385,386,Imran Tahir,27/03/1979,Right-hand bat,Legbreak googly,India
386,387,BE Hendricks,08/06/1990,Left-hand bat,Left-arm fast-medium,South Africa
387,388,S Gopal,04/09/1993,Right-hand bat,Legbreak,India
388,389,M de Lange,13/10/1990,Right-hand bat,Right-arm fast,South Africa
389,390,R Tewatia,20/05/1993,Left-hand bat,Legbreak,India
390,391,JO Holder,05/11/1991,Right-hand bat,Right-arm medium-fast,West Indies
391,392,Karanveer Singh,08/11/1987,Right-hand bat,Legbreak googly,India
392,393,SS Iyer,06/12/1994,Right-hand bat,Legbreak googly,India
393,394,DJ Hooda,19/04/1995,Right-hand bat,Right-arm offbreak,India
394,395,Anureet Singh,02/03/1988,Right-hand bat,Right-arm medium,India
395,396,KS Williamson,08/08/1990,Right-hand bat,Right-arm offbreak,New Zealand
396,397,SA Abbott,29/02/1992,Right-hand bat,Right-arm fast-medium,New Zealand
397,398,J Suchith,16/01/1994,Left-hand bat,Slow left-arm orthodox,India
398,399,RG More,02/02/1992,Right-hand bat,Right-arm medium,India
399,400,HH Pandya,11/10/1993,Right-hand bat,Right-arm medium-fast,India
400,401,D Wiese,18/05/1985,Right-hand bat,Right-arm medium-fast,South Africa
401,402,SN Khan,27/10/1997,Right-hand bat,Legbreak,India
402,403,MJ McClenaghan,11/06/1986,Left-hand bat,Left-arm fast-medium,New Zealand
403,404,DJ Muthuswami,09/03/1981,Right-hand bat,Right-arm medium,India
404,405,PJ Cummins,08/05/1993,Right-hand bat,Right-arm fast,Australia
405,406,SN Thakur,16/10/1991,Right-hand bat,Right-arm medium,India
406,407,JC Buttler,08/09/1990,Right-hand bat,N/A,England
407,408,CR Brathwaite,18/07/1988,Right-hand bat,Right-arm fast-medium,West Indies
408,409,MP Stoinis,16/08/1989,Right-hand bat,Right-arm medium,Australia
409,410,Ishan Kishan,18/07/1998,Left-hand bat,N/A,India
410,411,C Munro,11/03/1987,Left-hand bat,Right-arm medium-fast,New Zealand
411,412,P Sahu,21/08/1985,Right-hand bat,Legbreak googly,India
412,413,KH Pandya,24/03/1991,Left-hand bat,Slow left-arm orthodox,India
413,414,AD Nath,10/05/1993,Right-hand bat,Right-arm medium-fast,India
414,415,MJ Guptill,30/09/1986,Right-hand bat,Right-arm offbreak,New Zealand
415,416,KJ Abbott,18/06/1987,Right-hand bat,Right-arm fast-medium,South Africa
416,417,TM Head,29/12/1993,Left-hand bat,Right-arm offbreak,Australia
417,418,M Ashwin,08/09/1990,Right-hand bat,Legbreak googly,India
418,419,NS Naik,09/11/1994,Right-hand bat,N/A,India
419,420,RR Pant,04/10/1997,Left-hand bat,N/A,India
420,421,SW Billings,15/06/1991,Right-hand bat,N/A,England
421,422,KC Cariappa,13/04/1994,Right-hand bat,Legbreak,India
422,423,PSP Handscomb,26/04/1991,Right-hand bat,N/A,Australia
423,424,Swapnil Singh,22/01/1991,Right-hand bat,Slow left-arm orthodox,India
424,425,J Yadav,22/01/1990,Right-hand bat,Right-arm offbreak,India
425,426,UT Khawaja,18/12/1986,Left-hand bat,Right-arm medium,Australia
426,427,HM Amla,31/03/1983,Right-hand bat,Right-arm offbreak,South Africa
427,428,F Behardien,09/10/1983,Right-hand bat,Right-arm fast-medium,South Africa
428,429,BB Sran,10/12/1992,Left-hand bat,Left-arm medium,India
429,430,A Zampa,31/03/1992,Right-hand bat,Legbreak googly,Australia
430,431,N Rana,27/12/1993,Left-hand bat,Right-arm offbreak,India
431,432,S Kaushik,07/09/1995,Right-hand bat,Slow left-arm chinaman,India
432,433,ER Dwivedi,22/07/1988,Right-hand bat,N/A,India
433,434,CJ Jordan,04/10/1988,Right-hand bat,Right-arm fast-medium,England
434,435,P Amarnath,01/06/1982,Right-hand bat,Right-arm medium,India
435,436,B Geeves,13/06/1982,Right-hand bat,Right-arm fast-medium,Australia
436,437,Gagandeep Singh,03/10/1981,Right-hand bat,Right-arm medium-fast,India
437,438,A Nel,15/07/1977,Right-hand bat,Right-arm fast-medium,South Africa
438,439,AM Salvi,20/10/1981,Right-hand bat,Right-arm medium,India
439,440,RR Bose,27/02/1979,Right-hand bat,Right-arm fast-medium,India
440,441,SS Sarkar,15/12/1984,Right-hand bat,Right-arm medium,India
441,442,RA Shaikh,12/06/1985,Left-hand bat,Left-arm medium,India
442,443,C Ganapathy,10/06/1981,Right-hand bat,Right-arm medium,India
443,444,MB Parmar,12/04/1988,Right-hand bat,Right-arm offbreak,India
444,445,AA Kazi,29/09/1989,Left-hand bat,Slow left-arm orthodox,India
445,446,Anand Rajan,17/04/1987,Right-hand bat,Right-arm medium,India
446,447,P Prasanth,22/05/1985,Left-hand bat,Slow left-arm orthodox,India
447,448,SS Mundhe,27/10/1988,Right-hand bat,Right-arm medium,India
448,449,RW Price,12/06/1976,Right-hand bat,Slow left-arm orthodox,Zimbabwea
449,450,TP Sudhindra,24/04/1984,Left-hand bat,Right-arm fast,India
450,451,BW Hilfenhaus,15/03/1983,Right-hand bat,Right-arm fast-medium,Australia
451,452,S Badree,09/03/1981,Right-hand bat,Legbreak,West Indies
452,453,P Suyal,15/10/1989,Right-hand bat,Left-arm medium,India
453,454,MG Neser,29/03/1990,Right-hand bat,Right-arm medium,Australia
454,455,V Shankar,26/01/1991,Right-hand bat,Right-arm medium,India
455,456,K Santokie,20/12/1984,Left-hand bat,Left-arm medium,West Indies
456,457,JW Hastings,04/11/1985,Right-hand bat,Right-arm fast-medium,Australia
457,458,TA Boult,22/07/1989,Right-hand bat,Left-arm fast-medium,New Zealand
458,459,GS Sandhu,14/06/1993,Left-hand bat,Right-arm fast-medium,Australia
459,460,Mustafizur Rahman,06/09/1995,Left-hand bat,Left-arm fast-medium,Bangladesh
460,461,AF Milne,13/04/1992,Right-hand bat,Right-arm fast,New Zealand
461,462,Kuldeep Yadav,14/12/1994,Left-hand bat,Slow left-arm chinaman,India
462,463,T Shamsi,18/02/1990,Right-hand bat,Slow left-arm chinaman,South Africa
463,464,SM Boland,11/04/1989,Right-hand bat,Right-arm fast-medium,Australia
464,465,DL Chahar,07/08/1992,Right-hand bat,Right-arm medium,India
465,466,P Dharmani,27/09/1974,Right-hand bat,N/A,India
466,467,RV Pawar,06/09/1979,Left-hand bat,Slow left-arm orthodox,India
467,468,KH Devdhar,14/12/1989,Right-hand bat,N/A,India
468,469,T Mishra,22/12/1986,Right-hand bat,Right-arm fast-medium,India
469,470,A Choudhary,28/01/1990,Right-hand bat,Left-arm medium,India
470,471,AJ Tye,12/12/1986,Right-handed,Right-arm medium fast,Australia
471,472,Ankit Soni,02/08/1993, Right-hand bat, Legbreak,India
472,473,AR Bawne,17/12/1992, Right-hand bat,Right-arm offbreak,India
473,474,Avesh Khan,13/12/1996,Right-hand bat,Right-arm medium-fast,India
474,475,B Stanlake,04/11/1994,Left-hand bat,Right-arm fast,Australia
475,476,BA Stokes,04/06/1991,Left-hand bat,Right-arm fast-medium,England
476,477,Basil Thampi,11/09/1993,Right-hand bat, Right-arm fast-medium,India
477,478,C de Grandhomme,22/07/1986,Right-hand bat,Right-arm fast-medium,New Zealand
478,479,CR Woakes,02/03/1989, Right-hand bat,Right-arm fast-medium,England
479,480,DM Bravo,06/02/1989, Left-hand bat,Right-arm medium-fast,West Indies
480,481,JJ Roy,21/07/1990, Right-hand bat,NULL,England
481,482,K Rabada,25/05/1995, Left-hand bat,Right-arm fast,South Africa
482,483,LH Ferguson,13/06/1991,Right-hand bat,Right-arm fast,New Zealand
483,484,MJ Henry,14/12/1991, Right-hand bat,Right-arm fast-medium,New Zealand
484,485,Mohammad Nabi,01/01/1985, Right-hand bat,Right-arm offbreak,Afghanistan
485,486,Mohammed Siraj,13/03/1994,Right-hand bat, Right-arm medium-fast,India
486,487,NB Singh,08/09/1995,Right-hand bat,Right-arm medium,India
487,488,RA Tripathi,02/03/1991, Right-hand bat,Right-arm medium,India
488,489,Rashid Khan,20/11/1998,Right-hand bat,Legbreak googly,Afghanistan
489,490,RD Chahar,04/08/1999,Right-hand bat,Legbreak googly,India
490,491,SP Jackson,27/09/1986,Right-hand bat,NULL,India
491,492,SS Agarwal,21/11/1993,Right-hand bat,Legbreak googly,India
492,493,T Natarajan,27/05/1991,Left-hand bat,Left-arm medium,India
493,494,Tejas Baroka,01/02/1996,Right-hand bat,Legbreak googly,India
494,495,TS Mills,12/08/1992,Right-hand bat, Left-arm fast,England
495,496,Vishnu Vinod,02/12/1993,Right-hand bat,NULL,India
496,497,Washington Sundar,05/10/1999, Left-hand bat, Right-arm offbreak,India
